Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Hematoxylin OD mean	Nucleus: Hematoxylin OD sum	Nucleus: Hematoxylin OD std dev	Nucleus: Hematoxylin OD max	Nucleus: Hematoxylin OD min	Nucleus: Hematoxylin OD range	Nucleus: Eosin OD mean	Nucleus: Eosin OD sum	Nucleus: Eosin OD std dev	Nucleus: Eosin OD max	Nucleus: Eosin OD min	Nucleus: Eosin OD range
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	283.45	215.200000000001	30.4678	23.8567	0.6727	9.4986	4.9286	0.86	0.578	73.4091	0.0989	0.7735	0.3803	0.3932	0.0506	6.4286	0.0217	0.1129	0.0033	0.1097
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	449.65	213.6	16.1008	15.1648	0.8798	5.2131	4.2856	0.3734	0.5967	40.5738	0.1259	0.8834	0.3643	0.519	0.0745	5.0633	0.0378	0.1721	-0.0143	0.1865
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	493.95	215.200000000001	53.2566	30.9834	0.6971	10.8486	7.4979	0.7357	0.5303	115.0682	0.0882	0.7389	0.2857	0.4531	0.0691	14.9974	0.0247	0.1271	0.0043	0.1228
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	552.45	214.700000000001	15.11	15.5324	0.787	6.2618	3.4839	0.835	0.5459	34.3911	0.0776	0.7044	0.3664	0.338	0.0895	5.6404	0.037	0.205	0.0053	0.1997
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	616.55	219.6	60.9355	37.6373	0.5406	14.8605	7.4246	0.8955	0.6287	155.2831	0.1202	0.9558	0.4034	0.5524	0.0816	20.1458	0.0479	0.2076	-0.0503	0.2579
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	592.55	216.5	57.7153	35.4501	0.5771	14.3908	6.3225	0.9179	0.7881	184.4226	0.1645	1.1966	0.4862	0.7104	0.1107	25.8946	0.0555	0.2546	-0.002	0.2566
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	783.55	218.1	41.1191	26.9502	0.7114	11.0547	5.507	0.8793	0.5663	96.2653	0.096	0.7802	0.3548	0.4253	0.0677	11.512	0.0353	0.1877	-0.0381	0.2258
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	444.65	216.700000000001	20.8072	19.7561	0.6699	7.808	4.2231	0.8358	0.5387	47.9476	0.0678	0.6817	0.3961	0.2856	0.0516	4.5967	0.0252	0.1165	-0.0012	0.1178
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	685.95	217.700000000001	65.8896	31.5736	0.8306	10.4757	9.0194	0.3031	0.6114	164.4774	0.1191	1.0424	0.333	0.7093	0.0948	25.4887	0.0484	0.2542	-0.0432	0.2974
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	338.25	216	19.8164	16.7918	0.8832	5.892	4.2578	0.6939	0.5657	45.8248	0.0974	0.8236	0.3482	0.4755	0.0473	3.8334	0.0301	0.1047	-0.0071	0.1119
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	486.25	219.1	46.0732	28.4803	0.7138	9.821	6.5746	0.6618	0.6038	115.3343	0.1005	0.8663	0.4249	0.4414	0.0697	13.3209	0.0271	0.1349	5e-04	0.1344
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	602.65	216.6	20.0641	17.3721	0.8355	6.8485	3.7539	0.8054	0.5619	48.3261	0.1087	0.8359	0.3737	0.4622	0.0701	6.0317	0.0338	0.1505	4e-04	0.1502
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	509.75	220.300000000001	43.1007	29.2167	0.6345	11.61	5.8108	0.8852	0.5111	89.9515	0.0829	0.7183	0.3382	0.3801	0.0555	9.7654	0.0262	0.1631	-0.0383	0.2014
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	633.95	216.5	17.5871	15.0442	0.9765	5.4363	4.196	0.6006	0.5064	37.4748	0.0813	0.6655	0.3389	0.3267	0.0683	5.0557	0.0215	0.1635	0.0147	0.1487
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	209.45	219.1	53.9998	28.3353	0.8452	9.6109	7.4355	0.6797	0.619	133.6972	0.1111	0.8462	0.4297	0.4165	0.0511	11.0345	0.0246	0.1463	-0.0222	0.1685
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	519.95	218.700000000001	55.2383	29.0188	0.8243	11.6572	6.0994	0.8581	0.7736	174.8424	0.139	1.0562	0.3889	0.6673	0.0748	16.9075	0.0384	0.1734	-0.0429	0.2164
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	414.05	219.900000000001	34.431	25.7169	0.6542	10.1663	4.7807	0.8914	0.5631	82.2113	0.1048	0.8389	0.3807	0.4582	0.0632	9.2217	0.0189	0.1141	0.0082	0.1059
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	583.95	218.800000000001	15.8531	15.9325	0.7848	6.6488	3.0066	0.8987	0.6244	41.2098	0.0694	0.7584	0.4557	0.3027	0.0718	4.7399	0.0433	0.183	-0.0222	0.2052
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	345.85	219	16.5963	14.8678	0.9435	5.4796	3.8651	0.6271	0.693	48.5086	0.1222	0.9877	0.4496	0.5381	0.0845	5.9134	0.0209	0.1232	0.0248	0.0984
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	696.35	223.200000000001	48.0548	33.7541	0.53	14.1661	5.8989	0.9332	0.7335	146.7056	0.1303	1.0133	0.42	0.5932	0.1245	24.89	0.0517	0.2716	-0.0261	0.2977
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	761.95	219.400000000001	32.6971	21.5461	0.8851	8.0108	5.5294	0.7302	0.6125	81.4674	0.1132	0.8282	0.3786	0.4497	0.077	10.2414	0.0343	0.1457	0.0114	0.1343
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	372.85	222	26.0091	24.9104	0.5267	9.5733	5.1118	0.8928	0.5804	63.8412	0.1356	0.9128	0.3599	0.5528	0.0608	6.6855	0.0311	0.1492	-0.0016	0.1507
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	321.65	221.900000000001	33.4402	24.4868	0.7008	9.5839	4.8087	0.8761	0.6815	92.004	0.1038	0.9498	0.4599	0.4899	0.0561	7.5713	0.0308	0.1257	-0.0578	0.1836
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	248.75	221.5	21.5504	20.2473	0.6606	7.1007	5.1737	0.5562	0.5869	51.6489	0.0465	0.6932	0.4481	0.2452	0.0434	3.823	0.0303	0.0966	-0.0573	0.1538
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	473.05	224.200000000001	40.8714	28.4894	0.6328	11.8528	5.0574	0.9036	0.6883	119.0677	0.1397	0.9884	0.4035	0.5849	0.0695	12.0297	0.0387	0.1483	-0.0702	0.2185
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	539.45	223.1	32.9448	27.4853	0.548	10.3856	5.3474	0.8861	0.7289	99.8629	0.1298	0.9501	0.3548	0.5953	0.1607	22.0127	0.0716	0.3265	0.0036	0.3229
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	554.15	221	24.2751	21.5715	0.6556	7.8328	5.4645	0.7362	0.684	69.0871	0.1643	1.0194	0.3356	0.6838	0.0897	9.0567	0.0423	0.1897	-0.0081	0.1978
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	626.95	222.800000000001	31.2109	23.6758	0.6997	8.8228	4.8791	0.8569	0.5736	73.4207	0.0925	0.7974	0.4121	0.3853	0.0821	10.5072	0.0392	0.2157	-0.0136	0.2293
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	533.65	221.700000000001	14.3669	14.2376	0.8906	4.9411	3.8795	0.5389	0.5484	34.5469	0.0552	0.6703	0.4218	0.2485	0.0725	4.5695	0.0283	0.1258	-0.035	0.1608
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	341.45	221.900000000001	13.6238	14.131	0.8574	4.9763	3.8405	0.5815	0.6123	36.7395	0.1363	0.9146	0.3809	0.5336	0.04	2.4016	0.0256	0.0924	-0.0313	0.1237
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	571.55	222.700000000001	18.0825	15.9182	0.8968	6.0256	3.8125	0.7829	0.5751	43.1308	0.1133	0.8075	0.3371	0.4704	0.1126	8.4479	0.0572	0.2507	-0.0173	0.268
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	720.85	223.5	26.5045	21.8953	0.6947	8.0582	4.9628	0.8445	0.5571	62.9531	0.1035	0.7869	0.3042	0.4827	0.1004	11.3418	0.0456	0.2006	-0.012	0.2126
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	832.75	224	32.4494	23.202	0.7575	8.011	6.3789	0.3223	0.8759	119.1259	0.176	1.2016	0.4808	0.7208	0.0699	9.5076	0.0543	0.2179	-0.062	0.2799
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	456.75	224.400000000001	39.8806	24.7729	0.8166	8.2079	7.0674	0.5299	0.5468	90.2249	0.0685	0.6626	0.397	0.2656	0.0617	10.1825	0.0246	0.1445	-0.018	0.1625
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	766.75	225.1	23.532	18.5999	0.8548	7.3906	4.3332	0.8015	0.662	64.2174	0.0745	0.7876	0.453	0.3345	0.0717	6.9556	0.0331	0.1603	0.0045	0.1558
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	406.95	224.6	17.8348	15.2192	0.9676	5.6172	3.9816	0.6722	0.7128	52.037	0.144	1.0205	0.3935	0.6271	0.1099	8.0242	0.0541	0.2123	-0.0708	0.2832
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	423.55	228	51.0273	37.5195	0.4555	13.4153	6.7957	0.8908	0.5659	118.8467	0.1027	0.9066	0.3697	0.5369	0.0526	11.0552	0.0219	0.1018	-0.0027	0.1045
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	527.35	229	78.5226	35.8513	0.7677	13.2822	8.1251	0.8084	0.6843	220.3312	0.143	1.0538	0.3673	0.6865	0.0825	26.5592	0.0285	0.1954	-0.017	0.2124
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	583.55	226.5	29.7246	23.887	0.6546	8.9126	5.032	0.8417	0.6676	82.7881	0.1792	0.9986	0.2686	0.73	0.1782	22.0985	0.1622	0.7727	-0.0179	0.7905
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	761.45	226.1	13.3761	13.824	0.8796	5.2793	3.1833	0.8132	0.6468	36.2196	0.1031	0.873	0.454	0.419	0.1052	5.8926	0.0546	0.2438	0.0132	0.2305
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	227.55	229.200000000001	31.954	27.2176	0.542	10.2599	6.1733	0.8715	0.5654	77.4572	0.1332	0.8567	0.2991	0.5577	0.0501	6.8631	0.0205	0.1019	-0.018	0.1199
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	250.05	226.700000000001	18.8256	18.3574	0.702	6.0139	4.7589	0.6606	0.5757	46.0529	0.0695	0.6926	0.4007	0.2919	0.0327	2.6138	0.0153	0.084	0.0069	0.0771
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	284.55	229.300000000001	36.165	25.9838	0.6731	10.0916	4.7336	0.9071	0.5956	89.3339	0.0764	0.7896	0.3782	0.4115	0.0587	8.8022	0.0245	0.1098	-0.0255	0.1352
